Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,45.400002,45.400002,43.950001,44.500000,18.913916,1357576
2008-01-03,44.349998,44.950001,43.599998,44.000000,18.701399,2516971
2008-01-04,44.150002,45.799999,44.150002,45.650002,19.402704,3927758
2008-01-07,45.450001,45.450001,43.500000,44.349998,18.850163,4422745
2008-01-08,44.400002,44.950001,43.349998,43.650002,18.552639,4014106
2008-01-09,43.500000,44.400002,42.400002,43.849998,18.637642,3333191
2008-01-10,44.000000,44.200001,42.750000,43.700001,18.573889,4201870
2008-01-11,43.799999,44.349998,42.200001,43.000000,18.276369,4535280
2008-01-14,42.799999,45.099998,42.799999,43.849998,18.637642,4962469
2008-01-15,44.049999,45.299999,43.750000,44.150002,18.765156,5323579
2008-01-16,43.500000,44.849998,43.400002,44.000000,18.701399,5500817
2008-01-17,44.049999,45.250000,44.049999,45.000000,19.126434,5349786
2008-01-18,44.049999,46.349998,44.049999,45.500000,19.338945,5922676
2008-01-21,44.000000,45.000000,43.650002,43.650002,18.552639,5653255
2008-01-22,40.299999,44.250000,39.799999,43.099998,18.318872,7467242
2008-01-23,42.049999,45.500000,42.049999,44.700001,18.998919,7830800
2008-01-24,44.000000,44.000000,42.500000,42.500000,18.063856,8543308
2008-01-25,43.000000,44.000000,42.650002,43.500000,18.488884,5141987
2008-01-28,43.200001,43.200001,42.099998,43.000000,18.276369,3154380
2008-01-29,43.200001,43.950001,43.200001,43.700001,18.573889,4970641
2008-01-30,44.000000,44.400002,43.799999,44.000000,18.701399,4086375
2008-01-31,44.000000,44.500000,43.599998,44.450001,18.892660,4805864
2008-02-01,44.000000,44.799999,44.000000,44.650002,18.977673,4859240
2008-02-04,44.650002,44.950001,44.599998,44.849998,19.062675,3785166
2008-02-05,45.299999,45.349998,44.049999,45.000000,19.126434,7309275
2008-02-06,44.099998,44.299999,43.599998,44.299999,18.828913,3548946
2008-02-11,44.000000,44.250000,43.150002,43.150002,18.340122,2630240
2008-02-12,44.000000,44.099998,43.000000,43.849998,18.637642,2382908
2008-02-13,44.900002,44.900002,43.349998,43.500000,18.488884,3614960
2008-02-14,44.700001,45.200001,44.299999,44.950001,19.105183,4502506
2008-02-15,44.700001,45.599998,43.849998,45.400002,19.296448,2774307
2008-02-18,46.799999,46.799999,45.200001,45.799999,19.466454,2974986
2008-02-19,46.599998,46.599998,44.950001,44.950001,19.105183,2438030
2008-02-20,44.950001,45.299999,43.799999,44.099998,18.743904,3653500
2008-02-21,44.000000,44.950001,44.000000,44.049999,18.722652,3276669
2008-02-22,43.599998,45.849998,43.599998,45.799999,19.466454,5022368
2008-02-25,46.150002,46.500000,45.200001,46.099998,19.593967,4811304
2008-02-26,45.549999,46.000000,45.000000,45.349998,19.275188,4734440
2008-02-27,45.549999,45.750000,45.299999,45.549999,19.360197,3527316
2008-02-28,44.650002,45.049999,44.599998,44.900002,19.083931,4972251
2008-02-29,44.500000,44.900002,43.950001,44.099998,18.743904,4374346
2008-03-03,43.799999,44.400002,43.150002,44.400002,18.871412,3444569
2008-03-04,44.599998,44.799999,43.700001,44.500000,18.913916,3119783
2008-03-05,45.000000,45.849998,44.599998,45.000000,19.126434,3600122
2008-03-06,45.799999,45.799999,44.400002,44.799999,19.041426,2904083
2008-03-07,43.799999,44.750000,43.000000,43.000000,18.276369,5142653
2008-03-10,41.000000,45.200001,41.000000,44.500000,18.913916,7631824
2008-03-11,45.099998,47.000000,44.150002,46.900002,19.933996,6704978
2008-03-12,48.000000,48.000000,46.150002,47.349998,20.125256,5613988
2008-03-13,46.500000,47.700001,45.849998,46.950001,19.955242,6030581
2008-03-14,46.599998,51.000000,46.599998,49.799999,21.166584,10920667
2008-03-17,49.900002,51.500000,48.750000,50.799999,21.591616,7689464
2008-03-18,51.000000,52.400002,49.900002,51.400002,21.846640,8419622
2008-03-19,52.500000,52.500000,49.049999,50.700001,21.549109,5692048
2008-03-20,49.500000,51.400002,49.450001,50.500000,21.464106,5136861
2008-03-25,50.400002,50.500000,49.000000,49.549999,21.060324,5601134
2008-03-26,49.349998,49.700001,48.750000,48.950001,20.805305,3283939
2008-03-27,48.950001,49.500000,48.500000,49.450001,21.017820,3830169
2008-03-28,48.799999,49.900002,48.799999,49.849998,21.187836,3222896
2008-03-31,49.400002,49.700001,48.799999,49.150002,20.890314,3258099
2008-04-01,49.000000,49.000000,48.049999,48.700001,20.699047,3391196
