Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.430000,3.450000,3.370000,3.450000,2.864984,4518000
2008-01-03,3.400000,3.480000,3.350000,3.410000,2.831767,2957000
2008-01-04,3.360000,3.410000,3.350000,3.380000,2.806854,3298000
2008-01-07,3.330000,3.360000,3.230000,3.350000,2.781942,7022000
2008-01-08,3.340000,3.410000,3.260000,3.350000,2.781942,6330000
2008-01-09,3.210000,3.310000,3.210000,3.310000,2.748724,5220000
2008-01-10,3.290000,3.290000,3.210000,3.290000,2.732116,5047000
2008-01-11,3.280000,3.280000,3.140000,3.180000,2.640768,9794000
2008-01-14,3.130000,3.160000,2.740000,2.950000,2.449770,28048000
2008-01-15,2.920000,2.980000,2.800000,2.860000,2.375031,9416000
2008-01-16,2.750000,2.860000,2.700000,2.840000,2.358422,8996000
2008-01-17,2.800000,2.820000,2.600000,2.710000,2.250466,10724000
2008-01-18,2.710000,2.710000,2.530000,2.620000,2.175727,14270000
2008-01-21,2.530000,2.600000,2.300000,2.310000,1.918294,13402000
2008-01-22,2.130000,2.190000,2.000000,2.110000,1.752208,18751900
2008-01-23,2.200000,2.300000,2.140000,2.250000,1.868468,18905000
2008-01-24,2.350000,2.560000,2.300000,2.450000,2.034554,23310000
2008-01-25,2.490000,2.570000,2.300000,2.390000,1.984729,18087000
2008-01-28,2.330000,2.330000,2.160000,2.170000,1.802034,16314000
2008-01-29,2.260000,2.270000,2.180000,2.230000,1.851860,8590000
2008-01-30,2.280000,2.360000,2.230000,2.280000,1.893381,7136000
2008-01-31,2.320000,2.320000,2.100000,2.170000,1.802034,8664000
2008-02-01,2.240000,2.370000,2.200000,2.320000,1.926598,11006000
2008-02-04,2.370000,2.450000,2.370000,2.430000,2.017946,10578000
2008-02-05,2.400000,2.470000,2.350000,2.410000,2.001337,5134000
2008-02-06,2.340000,2.430000,2.290000,2.430000,2.017946,2218000
2008-02-11,2.440000,2.440000,2.300000,2.380000,1.976424,6088000
2008-02-12,2.380000,2.420000,2.280000,2.320000,1.926598,6602000
2008-02-13,2.350000,2.420000,2.330000,2.370000,1.968120,2532000
2008-02-14,2.410000,2.460000,2.380000,2.420000,2.009642,5122000
2008-02-15,2.400000,2.490000,2.390000,2.450000,2.034554,3820000
2008-02-18,2.480000,2.520000,2.420000,2.490000,2.067772,7218000
2008-02-19,2.500000,2.560000,2.500000,2.550000,2.117598,8563000
2008-02-20,2.560000,2.600000,2.450000,2.480000,2.059468,3718000
2008-02-21,2.550000,2.550000,2.460000,2.480000,2.059468,2182000
2008-02-22,2.460000,2.500000,2.410000,2.500000,2.076076,3060000
2008-02-25,2.470000,2.540000,2.410000,2.420000,2.009642,6069000
2008-02-26,2.440000,2.500000,2.430000,2.450000,2.034554,6528000
2008-02-27,2.500000,2.570000,2.460000,2.530000,2.100989,4898000
2008-02-28,2.530000,2.650000,2.530000,2.580000,2.142510,4770000
2008-02-29,2.560000,2.650000,2.540000,2.600000,2.159119,2300000
2008-03-03,2.600000,2.600000,2.550000,2.580000,2.142510,3736000
2008-03-04,2.580000,2.600000,2.470000,2.480000,2.059468,5140000
2008-03-05,2.460000,2.520000,2.430000,2.430000,2.017946,4552000
2008-03-06,2.450000,2.520000,2.450000,2.510000,2.084380,5840000
2008-03-07,2.450000,2.450000,2.300000,2.310000,1.918294,13982000
2008-03-10,2.300000,2.330000,2.250000,2.300000,1.909990,5755600
2008-03-11,2.300000,2.400000,2.260000,2.320000,1.926598,11452000
2008-03-12,2.400000,2.420000,2.260000,2.350000,1.951511,3478500
2008-03-13,2.340000,2.350000,2.100000,2.180000,1.810338,29458000
2008-03-14,2.200000,2.210000,2.080000,2.100000,1.743904,32082000
2008-03-17,2.000000,2.000000,1.890000,1.940000,1.611035,23925000
2008-03-18,1.910000,1.960000,1.830000,1.830000,1.519687,22762000
2008-03-19,1.930000,1.970000,1.730000,1.760000,1.461557,26108000
2008-03-20,1.740000,1.770000,1.640000,1.750000,1.453253,17692000
2008-03-25,null,null,null,null,null,null
2008-03-26,null,null,null,null,null,null
2008-03-27,1.800000,1.970000,1.800000,1.920000,1.594426,34233056
2008-03-28,1.900000,1.940000,1.890000,1.920000,1.594426,11401000
2008-03-31,1.950000,1.960000,1.900000,1.930000,1.602731,8378000
2008-04-01,1.960000,2.090000,1.940000,2.090000,1.735599,25076000
2008-04-02,2.160000,2.200000,2.080000,2.090000,1.735599,20865000
2008-04-03,2.070000,2.120000,2.020000,2.080000,1.727295,7262000
2008-04-07,2.080000,2.140000,2.080000,2.100000,1.743904,4736000
2008-04-08,2.140000,2.170000,2.080000,2.130000,1.768816,7032000
2008-04-09,2.160000,2.160000,2.060000,2.070000,1.718991,4011000
2008-04-10,2.080000,2.100000,2.060000,2.100000,1.743904,2094000
2008-04-11,2.100000,2.130000,2.100000,2.120000,1.760512,1890500
2008-04-14,2.080000,2.100000,2.050000,2.100000,1.743904,4648000
2008-04-15,2.100000,2.150000,2.070000,2.120000,1.760512,4518200
2008-04-16,2.140000,2.160000,2.120000,2.120000,1.760512,3426000
2008-04-17,2.130000,2.190000,2.120000,2.150000,1.785425,5538000
2008-04-18,2.150000,2.170000,2.100000,2.160000,1.793730,4264000
2008-04-21,2.180000,2.300000,2.180000,2.290000,1.901685,8048000
2008-04-22,2.210000,2.270000,2.210000,2.250000,1.868468,6690000
2008-04-23,2.250000,2.340000,2.220000,2.320000,1.926598,4716000
2008-04-24,2.340000,2.390000,2.340000,2.380000,1.976424,6910000
2008-04-25,2.380000,2.400000,2.330000,2.380000,1.976424,7219000
2008-04-28,2.410000,2.420000,2.370000,2.390000,1.984729,6634000
2008-04-29,2.420000,2.480000,2.400000,2.450000,2.034554,8289000
2008-04-30,2.430000,2.480000,2.400000,2.430000,2.017946,4632000
2008-05-02,2.470000,2.490000,2.400000,2.400000,1.993033,3548000
2008-05-05,2.400000,2.440000,2.360000,2.380000,1.976424,3112000
2008-05-06,2.400000,2.400000,2.300000,2.380000,1.976424,7566111
2008-05-07,2.380000,2.400000,2.290000,2.310000,1.918294,5356000
2008-05-08,2.280000,2.300000,2.220000,2.250000,1.868468,2635000
2008-05-09,2.250000,2.280000,2.230000,2.280000,1.893381,1951000
2008-05-13,null,null,null,null,null,null
2008-05-14,null,null,null,null,null,null
2008-05-15,2.320000,2.500000,2.320000,2.390000,1.984729,9192000
2008-05-16,2.380000,2.420000,2.350000,2.360000,1.959816,4493000
2008-05-19,2.500000,2.750000,2.500000,2.740000,2.275379,30500000
2008-05-20,2.700000,2.840000,2.590000,2.780000,2.308596,20442404
2008-05-21,2.540000,2.750000,2.540000,2.710000,2.250466,7453374
2008-05-22,2.660000,2.700000,2.600000,2.680000,2.225554,6826000
2008-05-23,2.700000,2.760000,2.640000,2.690000,2.233857,6821000
2008-05-26,2.690000,2.690000,2.610000,2.630000,2.184032,5960000
2008-05-27,2.630000,2.680000,2.630000,2.630000,2.184032,2326000
2008-05-28,2.670000,2.780000,2.630000,2.700000,2.242162,7218000
2008-05-29,2.730000,2.810000,2.730000,2.770000,2.300292,7866000
2008-05-30,2.790000,2.790000,2.730000,2.770000,2.300292,2508000
