Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.660000,5.810000,5.600000,5.630000,3.979527,4479393
2008-01-03,5.630000,5.780000,5.510000,5.590000,3.951254,9405617
2008-01-04,5.540000,5.780000,5.540000,5.710000,4.036075,9345391
2008-01-07,5.640000,5.640000,5.480000,5.560000,3.930048,10865878
2008-01-08,5.560000,5.640000,5.550000,5.580000,3.944185,8216095
2008-01-09,5.500000,5.630000,5.500000,5.610000,3.965390,6711296
2008-01-10,5.600000,5.690000,5.560000,5.600000,3.958322,5796326
2008-01-11,5.600000,5.700000,5.570000,5.640000,3.986595,7482359
2008-01-14,5.680000,5.750000,5.600000,5.630000,3.979527,7077570
2008-01-15,5.720000,5.810000,5.580000,5.680000,4.014869,11914684
2008-01-16,5.610000,5.610000,5.350000,5.390000,3.809885,13416866
2008-01-17,5.400000,5.580000,5.320000,5.450000,3.852296,10229694
2008-01-18,5.400000,5.500000,5.230000,5.480000,3.873501,8219148
2008-01-21,5.590000,5.830000,5.270000,5.350000,3.781611,19300349
2008-01-22,5.140000,5.150000,4.910000,5.000000,3.534216,16957443
2008-01-23,4.970000,5.400000,4.970000,5.400000,3.816954,12639166
2008-01-24,5.400000,5.430000,5.010000,5.040000,3.562489,14735162
2008-01-25,5.200000,5.360000,5.200000,5.270000,3.725063,12728683
2008-01-28,5.170000,5.170000,5.000000,5.080000,3.590763,12060440
2008-01-29,5.150000,5.200000,5.050000,5.150000,3.640243,6083098
2008-01-30,5.200000,5.200000,4.800000,4.820000,3.406984,13571513
2008-01-31,4.800000,5.020000,4.800000,4.950000,3.498873,8918441
2008-02-01,4.980000,5.050000,4.830000,5.050000,3.569559,5984627
2008-02-04,5.240000,5.240000,5.130000,5.230000,3.696790,5925988
2008-02-05,5.190000,5.300000,5.100000,5.280000,3.732132,6477316
2008-02-06,5.070000,5.070000,4.930000,4.970000,3.513010,6951097
2008-02-11,4.880000,5.000000,4.850000,4.870000,3.442326,6765929
2008-02-12,4.910000,4.960000,4.860000,4.890000,3.456463,3896218
2008-02-13,4.960000,4.990000,4.880000,4.940000,3.491805,4132366
2008-02-14,5.000000,5.250000,5.000000,5.150000,3.640243,14926118
2008-02-15,5.050000,5.320000,5.030000,5.270000,3.725063,6835203
2008-02-18,5.230000,5.340000,5.210000,5.270000,3.725063,3016123
2008-02-19,5.310000,5.330000,5.120000,5.280000,3.732132,3892000
2008-02-20,5.290000,5.290000,5.130000,5.140000,3.633174,5508270
2008-02-21,5.250000,5.280000,5.200000,5.260000,3.717996,2519061
2008-02-22,5.230000,5.230000,5.070000,5.120000,3.619036,3099119
2008-02-25,5.150000,5.180000,5.050000,5.080000,3.590763,3162015
2008-02-26,5.100000,5.170000,5.070000,5.150000,3.640243,3597841
2008-02-27,5.150000,5.300000,5.150000,5.290000,3.739201,6871006
2008-02-28,5.280000,5.340000,5.160000,5.300000,3.746269,5773385
2008-02-29,5.250000,5.270000,5.110000,5.140000,3.633174,4484735
2008-03-03,5.020000,5.100000,5.000000,5.100000,3.604900,7186503
2008-03-04,5.080000,5.080000,4.800000,4.820000,3.406984,16220728
2008-03-05,4.820000,4.920000,4.750000,4.810000,3.399915,7665974
2008-03-06,4.820000,4.950000,4.820000,4.900000,3.463531,3835474
2008-03-07,4.750000,4.780000,4.680000,4.700000,3.322163,5256258
2008-03-10,4.630000,4.700000,4.480000,4.670000,3.300958,6193205
2008-03-11,4.620000,4.650000,4.480000,4.640000,3.279752,6994034
2008-03-12,4.740000,4.800000,4.600000,4.750000,3.357505,5411299
2008-03-13,4.730000,4.740000,4.500000,4.530000,3.201999,6291870
2008-03-14,4.530000,4.710000,4.510000,4.530000,3.201999,6474408
2008-03-17,4.440000,4.450000,4.230000,4.240000,2.997015,7753374
2008-03-18,4.240000,4.430000,4.030000,4.140000,2.926330,9691784
2008-03-19,4.130000,4.320000,4.010000,4.120000,2.912194,15504267
2008-03-20,4.030000,4.040000,3.700000,3.790000,2.678935,9763617
2008-03-25,3.860000,4.000000,3.800000,3.960000,2.799099,12458245
2008-03-26,4.000000,4.220000,3.960000,4.150000,2.933399,7735355
2008-03-27,4.090000,4.090000,3.960000,4.040000,2.855647,9426036
2008-03-28,4.000000,4.180000,3.990000,4.130000,2.919263,8196481
2008-03-31,4.140000,4.140000,4.050000,4.050000,2.862715,4327712
2008-04-01,4.060000,4.180000,4.050000,4.090000,2.890989,4195928
2008-04-02,4.250000,4.250000,4.150000,4.190000,2.961673,7254000
2008-04-03,4.190000,4.340000,4.150000,4.330000,3.060631,8125772
2008-04-07,4.300000,4.450000,4.290000,4.380000,3.095974,8415531
2008-04-08,4.400000,4.400000,4.270000,4.310000,3.046494,4107242
2008-04-09,4.240000,4.280000,4.080000,4.100000,2.898057,5438869
2008-04-10,4.090000,4.190000,4.020000,4.120000,2.912194,5962257
2008-04-11,4.150000,4.220000,4.090000,4.220000,2.982878,4487938
2008-04-14,4.160000,4.160000,4.000000,4.040000,2.855647,8223112
2008-04-15,4.000000,4.020000,3.910000,3.980000,2.813236,12783147
2008-04-16,4.020000,4.070000,3.930000,3.940000,2.784963,5332939
2008-04-17,4.100000,4.100000,3.960000,4.000000,2.827373,11856113
2008-04-18,4.000000,4.080000,3.970000,4.050000,2.862715,4749559
2008-04-21,4.140000,4.150000,4.090000,4.120000,2.912194,5431625
2008-04-22,4.120000,4.300000,4.050000,4.280000,3.025289,8264750
2008-04-23,4.350000,4.480000,4.310000,4.480000,3.166657,10092917
2008-04-24,4.600000,4.650000,4.500000,4.580000,3.237341,20634662
2008-04-25,4.620000,4.640000,4.370000,4.400000,3.110110,13201002
2008-04-28,4.420000,4.530000,4.420000,4.520000,3.194932,4884377
2008-04-29,4.520000,4.520000,4.430000,4.490000,3.173727,8598855
2008-04-30,4.510000,4.520000,4.430000,4.460000,3.152521,6060712
2008-05-02,4.460000,4.590000,4.440000,4.470000,3.159589,9031122
2008-05-05,4.460000,4.550000,4.430000,4.500000,3.180794,5654503
2008-05-06,4.400000,4.540000,4.400000,4.510000,3.187863,4623788
2008-05-07,4.500000,4.540000,4.260000,4.310000,3.046494,9481225
2008-05-08,4.300000,4.430000,4.230000,4.230000,2.989947,6886980
2008-05-09,4.210000,4.280000,4.070000,4.090000,2.890989,8206253
2008-05-13,4.100000,4.320000,4.100000,4.220000,2.982878,6571630
2008-05-14,4.280000,4.280000,4.180000,4.230000,2.989947,5990294
2008-05-15,4.240000,4.300000,4.120000,4.170000,2.947536,10015437
2008-05-16,4.220000,4.270000,4.200000,4.210000,2.975810,5556909
2008-05-19,4.240000,4.290000,4.210000,4.280000,3.025289,4491064
2008-05-20,4.300000,4.300000,4.140000,4.140000,2.926330,7127877
2008-05-21,4.180000,4.200000,4.070000,4.160000,2.940468,4652116
2008-05-22,4.150000,4.170000,4.100000,4.110000,2.905125,5429586
2008-05-23,4.150000,4.150000,4.010000,4.010000,2.890708,6373000
2008-05-26,3.850000,3.990000,3.850000,3.900000,2.811412,6743236
2008-05-27,3.860000,3.960000,3.860000,3.910000,2.818621,4729600
2008-05-28,3.910000,3.990000,3.850000,3.870000,2.789786,6670000
2008-05-29,3.940000,3.960000,3.840000,3.870000,2.789786,7456800
2008-05-30,3.920000,3.970000,3.900000,3.920000,2.825829,7116180
2008-06-02,4.040000,4.090000,3.970000,4.050000,2.919543,5704457
2008-06-03,4.040000,4.050000,3.930000,3.930000,2.833038,6745179
2008-06-04,3.930000,3.970000,3.890000,3.900000,2.811412,10350760
2008-06-05,3.900000,3.940000,3.880000,3.890000,2.804203,4843541
2008-06-06,3.970000,3.970000,3.900000,3.950000,2.847456,3719971
2008-06-10,3.900000,3.910000,3.750000,3.750000,2.703280,7899685
2008-06-11,3.690000,3.760000,3.620000,3.630000,2.616776,10630890
2008-06-12,3.580000,3.630000,3.500000,3.580000,2.580732,7685310
2008-06-13,3.580000,3.600000,3.510000,3.520000,2.537479,9236150
2008-06-16,3.500000,3.680000,3.500000,3.590000,2.587940,3465942
2008-06-17,3.600000,3.630000,3.520000,3.530000,2.544688,3382479
2008-06-18,3.530000,3.640000,3.520000,3.620000,2.609566,6085535
2008-06-19,3.580000,3.580000,3.480000,3.480000,2.508644,7440536
2008-06-20,3.480000,3.580000,3.390000,3.470000,2.501436,3940557
2008-06-23,3.460000,3.460000,3.340000,3.370000,2.429348,3321530
