Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,6.383143,6.383143,6.257033,6.315238,3.287839,163694595
2008-01-03,6.257033,6.257033,5.946606,5.975709,3.111073,463331600
2008-01-04,5.917504,6.111520,5.917504,6.033914,3.141376,385502217
2008-01-07,5.907803,5.907803,5.713786,5.830196,3.035316,470994297
2008-01-08,5.898102,6.160024,5.898102,6.004811,3.126224,594360444
2008-01-09,6.014512,6.421947,5.936905,6.421947,3.343393,594148978
2008-01-10,6.324938,6.489852,6.286135,6.315238,3.287839,464873294
2008-01-11,6.324938,6.548057,6.237631,6.257033,3.257536,530167005
2008-01-14,6.257033,6.392844,6.072717,6.092119,3.171679,275229043
2008-01-15,6.189127,6.227930,5.917504,5.956307,3.100972,412035958
2008-01-16,5.771991,5.859299,5.636180,5.674983,2.954510,669807617
2008-01-17,5.723487,5.985409,5.471266,5.859299,3.050468,644940659
2008-01-18,5.684684,5.956307,5.674983,5.936905,3.090871,521759183
2008-01-21,5.820495,5.849598,5.461565,5.500368,2.863601,525865099
2008-01-22,5.640060,5.640060,4.734003,4.831011,2.515120,1003377036
2008-01-23,5.141438,5.684684,5.015327,5.607077,2.919156,932756837
2008-01-24,5.065771,5.888401,5.065771,5.471266,2.848451,627788025
2008-01-25,5.238446,6.053315,5.238446,6.004811,3.126224,693602656
2008-01-28,5.752590,5.791393,5.510069,5.645881,2.939359,543007692
2008-01-29,5.820495,5.820495,5.684684,5.723487,2.979762,311851554
2008-01-30,5.791393,5.791393,5.354856,5.403360,2.813097,401002404
2008-01-31,5.393659,5.471266,5.160839,5.228745,2.722189,421990955
2008-02-01,5.306352,5.733188,5.267548,5.684684,2.959559,555838745
2008-02-04,5.849598,6.053315,5.849598,5.995110,3.121174,506153623
2008-02-05,5.917504,5.966008,5.859299,5.898102,3.070669,209257482
2008-02-06,5.519770,5.577975,5.442163,5.519770,2.873702,439163529
2008-02-11,5.442163,5.480966,5.131737,5.199643,2.707038,422047379
2008-02-12,5.286950,5.335454,5.199643,5.257847,2.737340,247350886
2008-02-13,5.335454,5.519770,5.306352,5.393659,2.808047,331163660
2008-02-14,5.539171,5.674983,5.519770,5.665282,2.949459,359242712
2008-02-15,5.529471,5.752590,5.490667,5.723487,2.979762,275442672
2008-02-18,5.801094,5.830196,5.548872,5.568274,2.898955,217782754
2008-02-19,5.674983,5.820495,5.626479,5.752590,2.994914,195023479
2008-02-20,5.771991,5.791393,5.510069,5.558573,2.893904,247933894
2008-02-21,5.636180,5.636180,5.500368,5.529471,2.878752,253192386
2008-02-22,5.345155,5.432462,5.316052,5.422762,2.823198,318132723
2008-02-25,5.480966,5.480966,5.316052,5.345155,2.782794,196255605
2008-02-26,5.393659,5.490667,5.383958,5.451864,2.838349,174477083
2008-02-27,5.616778,5.820495,5.616778,5.791393,3.015114,538896401
2008-02-28,5.771991,5.995110,5.733188,5.878700,3.060569,387788817
2008-02-29,5.791393,5.917504,5.771991,5.869000,3.055519,315468285
