Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,8.200000,8.200000,7.800000,7.900000,7.900000,3234599
2008-01-03,7.700000,8.000000,7.700000,7.700000,7.700000,3011518
2008-01-04,7.800000,7.900000,7.800000,7.900000,7.900000,2088603
2008-01-07,7.800000,7.800000,7.600000,7.600000,7.600000,4337240
2008-01-08,7.800000,7.800000,7.600000,7.800000,7.800000,2211900
2008-01-09,7.700000,7.700000,7.500000,7.600000,7.600000,3086600
2008-01-10,7.800000,8.200000,7.600000,7.600000,7.600000,4358072
2008-01-11,7.700000,7.800000,7.600000,7.600000,7.600000,2207938
2008-01-14,7.700000,7.700000,7.500000,7.600000,7.600000,3372533
2008-01-15,7.000000,7.700000,7.000000,7.500000,7.500000,4970062
2008-01-16,7.300000,7.400000,6.800000,7.100000,7.100000,6466086
2008-01-17,7.200000,7.200000,6.800000,7.000000,7.000000,4949800
2008-01-18,6.800000,7.100000,6.700000,7.000000,7.000000,4122500
2008-01-21,6.900000,7.100000,6.800000,6.800000,6.800000,2777200
2008-01-22,6.600000,6.700000,6.100000,6.400000,6.400000,7176517
2008-01-23,6.600000,6.800000,6.300000,6.400000,6.400000,3418164
2008-01-24,6.500000,6.700000,6.400000,6.600000,6.600000,2779500
2008-01-25,6.600000,6.700000,6.600000,6.700000,6.700000,1777500
2008-01-28,6.600000,6.600000,6.300000,6.400000,6.400000,2629271
2008-01-29,6.500000,6.600000,6.400000,6.500000,6.500000,1775271
2008-01-30,6.600000,6.600000,6.200000,6.300000,6.300000,2781221
2008-01-31,6.400000,6.400000,6.200000,6.300000,6.300000,2003383
2008-02-01,6.300000,6.600000,6.200000,6.500000,6.500000,2848300
2008-02-04,6.600000,6.700000,6.500000,6.700000,6.700000,2079861
2008-02-05,6.600000,6.800000,6.500000,6.700000,6.700000,1703400
2008-02-06,6.500000,6.600000,6.400000,6.500000,6.500000,1322100
2008-02-11,6.600000,6.600000,6.300000,6.300000,6.300000,1319100
2008-02-12,6.400000,6.400000,6.300000,6.400000,6.400000,731372
2008-02-13,6.500000,6.500000,6.400000,6.500000,6.500000,1174451
2008-02-14,6.500000,6.600000,6.500000,6.500000,6.500000,1810814
2008-02-15,6.400000,6.500000,6.400000,6.500000,6.500000,1765825
2008-02-18,6.400000,6.500000,6.400000,6.400000,6.400000,1304529
2008-02-19,6.400000,6.500000,6.400000,6.500000,6.500000,1511185
2008-02-20,6.400000,6.500000,6.300000,6.400000,6.400000,2530216
2008-02-21,6.400000,6.400000,6.300000,6.400000,6.400000,1361537
2008-02-22,6.300000,6.300000,6.200000,6.200000,6.200000,1769158
2008-02-25,6.200000,6.300000,6.200000,6.300000,6.300000,2472320
2008-02-26,6.300000,6.400000,6.200000,6.300000,6.300000,998522
2008-02-27,6.300000,6.300000,6.200000,6.300000,6.300000,2243900
2008-02-28,6.200000,6.300000,6.200000,6.300000,6.300000,1180500
2008-02-29,6.200000,6.300000,6.100000,6.300000,6.300000,2944500
2008-03-03,6.200000,6.300000,6.100000,6.300000,6.300000,2401900
2008-03-04,6.300000,6.300000,6.000000,6.100000,6.100000,3684840
2008-03-05,6.100000,6.100000,5.700000,5.800000,5.800000,4416239
2008-03-06,5.800000,5.800000,5.400000,5.600000,5.600000,4508300
2008-03-07,5.300000,5.600000,5.200000,5.500000,5.500000,4865900
2008-03-10,5.500000,5.500000,5.200000,5.300000,5.300000,4025267
2008-03-11,5.200000,5.200000,5.000000,5.100000,5.100000,2773483
2008-03-12,5.300000,5.300000,5.000000,5.000000,5.000000,2253100
2008-03-13,5.100000,5.100000,4.900000,5.000000,5.000000,3269560
2008-03-14,5.000000,5.100000,4.700000,4.750000,4.750000,3071999
2008-03-17,4.650000,4.650000,4.400000,4.500000,4.500000,4310290
2008-03-18,4.600000,4.600000,4.150000,4.350000,4.350000,4900000
2008-03-19,4.500000,4.500000,4.100000,4.450000,4.450000,5480500
2008-03-20,4.250000,4.700000,4.200000,4.500000,4.500000,4331000
2008-03-25,4.950000,5.600000,4.950000,5.300000,5.300000,15073250
2008-03-26,5.500000,5.700000,5.100000,5.200000,5.200000,6782900
2008-03-27,5.200000,5.900000,5.100000,5.700000,5.700000,9429643
2008-03-28,5.700000,5.700000,5.300000,5.500000,5.500000,6705500
2008-03-31,5.500000,5.500000,5.300000,5.400000,5.400000,4455300
2008-04-01,5.400000,5.500000,5.300000,5.400000,5.400000,4438200
2008-04-02,4.950000,5.600000,4.950000,5.400000,5.400000,4373963
2008-04-03,5.300000,5.500000,5.200000,5.400000,5.400000,3367600
2008-04-07,5.400000,5.600000,5.100000,5.200000,5.200000,7820796
2008-04-08,5.200000,5.200000,5.000000,5.000000,5.000000,2461900
2008-04-09,5.200000,5.300000,5.100000,5.200000,5.200000,4301600
2008-04-10,5.200000,5.200000,4.850000,5.000000,5.000000,6292400
2008-04-11,5.100000,5.100000,4.900000,5.000000,5.000000,2004400
2008-04-14,4.850000,4.900000,4.800000,4.800000,4.800000,2195400
2008-04-15,4.900000,7.300000,4.850000,6.900000,6.900000,31246352
2008-04-16,6.400000,6.800000,5.400000,5.600000,5.600000,39432479
2008-04-17,5.600000,5.900000,5.400000,5.600000,5.600000,14268900
2008-04-18,5.600000,6.100000,5.500000,5.600000,5.600000,21387374
2008-04-21,5.800000,6.100000,5.500000,5.600000,5.600000,10812486
2008-04-22,5.500000,5.700000,5.500000,5.700000,5.700000,4729100
2008-04-23,5.600000,6.400000,5.500000,6.100000,6.100000,19901400
2008-04-24,5.700000,6.300000,5.700000,6.200000,6.200000,14029036
2008-04-25,6.200000,6.600000,5.800000,5.900000,5.900000,10138100
2008-04-28,5.900000,6.100000,5.700000,5.900000,5.900000,5551200
2008-04-29,5.800000,6.400000,5.800000,6.100000,6.100000,11121500
2008-04-30,6.000000,6.300000,5.800000,5.900000,5.900000,11298900
2008-05-02,6.100000,6.200000,6.000000,6.100000,6.100000,7178000
2008-05-05,6.100000,6.900000,5.900000,6.700000,6.700000,27632600
2008-05-06,6.600000,6.800000,6.300000,6.400000,6.400000,12929409
2008-05-07,6.400000,6.500000,5.900000,5.900000,5.900000,9038090
2008-05-08,5.900000,6.100000,5.900000,6.100000,6.100000,6378303
2008-05-09,6.100000,6.300000,5.800000,5.900000,5.900000,9669124
2008-05-13,5.900000,6.000000,5.700000,5.700000,5.700000,8402993
2008-05-14,5.800000,5.800000,5.500000,5.600000,5.600000,8517100
2008-05-15,5.600000,5.900000,5.500000,5.700000,5.700000,14692700
2008-05-16,5.800000,5.800000,5.400000,5.400000,5.400000,14387729
2008-05-19,5.500000,5.700000,5.400000,5.600000,5.600000,10245900
2008-05-20,5.700000,5.700000,5.300000,5.300000,5.300000,12196340
2008-05-21,5.200000,5.500000,5.200000,5.400000,5.400000,4408200
2008-05-22,5.300000,5.400000,5.200000,5.400000,5.400000,3459800
2008-05-23,5.500000,5.500000,5.300000,5.400000,5.400000,2408041
2008-05-26,5.300000,5.600000,5.300000,5.400000,5.400000,6137400
2008-05-27,5.700000,5.900000,5.600000,5.700000,5.700000,12598600
2008-05-28,5.700000,5.700000,5.400000,5.400000,5.400000,5632100
2008-05-29,5.500000,5.600000,5.400000,5.400000,5.400000,7872172
2008-05-30,5.500000,5.600000,4.800000,4.800000,4.800000,35457200
2008-06-02,4.800000,5.300000,4.800000,5.100000,5.100000,21242611
2008-06-03,5.200000,5.300000,5.100000,5.200000,5.200000,5418597
