Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,2.220000,2.220000,2.100000,2.120000,0.672047,198000
2008-01-03,2.120000,2.300000,2.120000,2.170000,0.687897,62000
2008-01-04,2.170000,2.170000,2.150000,2.150000,0.681557,20000
2008-01-07,2.130000,2.130000,1.900000,2.050000,0.649856,417000
2008-01-08,1.950000,2.040000,1.950000,2.030000,0.643516,150000
2008-01-09,1.930000,2.080000,1.930000,2.080000,0.659366,104000
2008-01-10,2.080000,2.080000,2.000000,2.030000,0.643516,244000
2008-01-11,1.980000,2.050000,1.980000,2.050000,0.649856,536000
2008-01-14,1.960000,1.960000,1.900000,1.930000,0.611816,286000
2008-01-15,1.940000,1.960000,1.900000,1.900000,0.602306,192000
2008-01-16,1.860000,1.900000,1.860000,1.900000,0.602306,66000
2008-01-17,1.920000,2.000000,1.900000,2.000000,0.634006,340000
2008-01-18,1.900000,1.950000,1.860000,1.950000,0.618156,538000
2008-01-21,1.950000,1.950000,1.900000,1.920000,0.608646,122000
2008-01-22,1.860000,1.860000,1.600000,1.670000,0.529395,764000
2008-01-23,1.730000,1.850000,1.730000,1.850000,0.586456,236000
2008-01-24,1.870000,1.900000,1.820000,1.820000,0.576946,168000
2008-01-25,1.840000,1.840000,1.740000,1.750000,0.554755,234000
2008-01-28,1.750000,1.750000,1.720000,1.720000,0.545245,60000
2008-01-29,1.740000,1.740000,1.680000,1.700000,0.538905,2652000
2008-01-30,1.700000,1.700000,1.660000,1.700000,0.538905,216000
2008-01-31,1.700000,1.700000,1.680000,1.700000,0.538905,356000
2008-02-01,1.700000,1.700000,1.700000,1.700000,0.538905,280000
2008-02-04,1.700000,1.780000,1.700000,1.780000,0.564265,3308000
2008-02-05,1.850000,2.000000,1.790000,2.000000,0.634006,922937
2008-02-06,1.930000,1.940000,1.860000,1.860000,0.589626,78000
2008-02-11,1.800000,1.800000,1.750000,1.750000,0.554755,5142
2008-02-12,1.760000,1.880000,1.750000,1.750000,0.554755,40000
2008-02-13,1.750000,1.800000,1.750000,1.800000,0.570606,76000
2008-02-14,1.820000,1.860000,1.790000,1.790000,0.567436,1114000
2008-02-15,1.800000,1.800000,1.800000,1.800000,0.570606,1140000
2008-02-18,1.800000,1.800000,1.780000,1.780000,0.564265,30000
2008-02-19,1.780000,1.800000,1.780000,1.800000,0.570606,334000
2008-02-20,1.800000,1.800000,1.800000,1.800000,0.570606,54000
2008-02-21,1.790000,1.790000,1.760000,1.760000,0.557925,32000
2008-02-22,1.760000,1.760000,1.760000,1.760000,0.557925,950000
2008-02-25,1.760000,1.760000,1.700000,1.720000,0.545245,76000
2008-02-26,1.750000,1.760000,1.720000,1.760000,0.557925,220000
2008-02-27,1.760000,1.760000,1.760000,1.760000,0.557925,516656
2008-02-28,1.880000,1.880000,1.880000,1.880000,0.595966,10000
2008-02-29,1.850000,1.860000,1.800000,1.800000,0.570606,90000
2008-03-03,1.850000,1.860000,1.800000,1.860000,0.589626,114000
2008-03-04,1.860000,1.860000,1.770000,1.850000,0.586456,136000
2008-03-05,1.830000,1.830000,1.730000,1.780000,0.564265,266624
2008-03-06,1.870000,1.870000,1.750000,1.800000,0.570606,6000
2008-03-07,null,null,null,null,null,null
2008-03-10,1.750000,1.800000,1.750000,1.800000,0.570606,198000
2008-03-11,1.750000,1.840000,1.750000,1.840000,0.583286,244000
2008-03-12,1.890000,1.890000,1.790000,1.800000,0.570606,2378000
2008-03-13,1.780000,1.780000,1.750000,1.750000,0.554755,80000
2008-03-14,1.750000,1.750000,1.750000,1.750000,0.554755,165546
2008-03-17,1.660000,1.670000,1.660000,1.670000,0.529395,186000
2008-03-18,1.650000,1.700000,1.620000,1.700000,0.538905,70562
2008-03-19,1.660000,1.720000,1.660000,1.680000,0.532565,50000
2008-03-20,1.640000,1.680000,1.640000,1.640000,0.519885,50000
2008-03-25,1.600000,1.680000,1.550000,1.670000,0.529395,126000
2008-03-26,1.680000,1.800000,1.680000,1.800000,0.570606,288000
2008-03-27,1.800000,1.800000,1.600000,1.710000,0.542075,100000
2008-03-28,1.720000,1.780000,1.710000,1.780000,0.564265,122000
2008-03-31,1.780000,1.800000,1.750000,1.780000,0.564265,36000
2008-04-01,1.740000,1.780000,1.740000,1.780000,0.564265,36000
2008-04-02,1.800000,1.850000,1.750000,1.750000,0.554755,450904
2008-04-03,1.770000,1.800000,1.770000,1.800000,0.570606,14000
2008-04-07,1.720000,1.800000,1.720000,1.800000,0.570606,6000
2008-04-08,1.800000,1.800000,1.800000,1.800000,0.570606,4000
2008-04-09,1.790000,1.840000,1.780000,1.840000,0.583286,226000
2008-04-10,1.800000,1.840000,1.790000,1.840000,0.583286,552000
2008-04-11,1.800000,1.840000,1.780000,1.800000,0.570606,152000
2008-04-14,1.770000,1.770000,1.750000,1.750000,0.554755,150000
2008-04-15,null,null,null,null,null,null
2008-04-16,1.800000,1.800000,1.760000,1.760000,0.557925,10000
2008-04-17,1.770000,1.770000,1.770000,1.770000,0.561095,20000
2008-04-18,1.780000,1.780000,1.740000,1.780000,0.564265,96000
2008-04-21,1.800000,1.820000,1.800000,1.820000,0.576946,6484
2008-04-22,1.800000,1.800000,1.760000,1.790000,0.567436,153593
2008-04-23,1.750000,1.790000,1.750000,1.790000,0.567436,280000
2008-04-24,1.790000,1.790000,1.580000,1.670000,0.529395,1630911
2008-04-25,1.730000,1.760000,1.700000,1.730000,0.548415,108000
2008-04-28,1.730000,1.730000,1.730000,1.730000,0.548415,22000
2008-04-29,1.760000,1.760000,1.650000,1.730000,0.548415,662000
2008-04-30,1.700000,1.720000,1.670000,1.720000,0.545245,273187
2008-05-02,1.740000,1.800000,1.740000,1.750000,0.554755,204000
2008-05-05,1.800000,1.820000,1.780000,1.800000,0.570606,266703
2008-05-06,1.790000,1.790000,1.750000,1.750000,0.554755,218000
2008-05-07,1.760000,1.760000,1.750000,1.760000,0.557925,40000
2008-05-08,1.750000,1.770000,1.750000,1.750000,0.554755,118000
2008-05-09,1.760000,1.820000,1.740000,1.800000,0.570606,1102561
2008-05-13,1.820000,1.860000,1.820000,1.850000,0.586456,846000
2008-05-14,1.810000,1.850000,1.800000,1.820000,0.576946,585546
2008-05-15,1.820000,1.860000,1.800000,1.840000,0.583286,734000
2008-05-16,1.820000,1.960000,1.800000,1.960000,0.621326,796343
2008-05-19,2.000000,2.050000,1.970000,2.040000,0.646686,1046000
2008-05-20,2.160000,2.250000,2.040000,2.080000,0.659366,3095000
2008-05-21,2.000000,2.010000,1.900000,1.970000,0.624496,1212000
2008-05-22,1.940000,1.940000,1.860000,1.900000,0.602306,240000
2008-05-23,1.950000,2.060000,1.950000,2.000000,0.634006,486000
2008-05-26,1.900000,1.960000,1.900000,1.960000,0.621326,261921
2008-05-27,1.950000,1.980000,1.930000,1.980000,0.627666,202000
2008-05-28,1.980000,2.000000,1.950000,1.960000,0.621326,112000
2008-05-29,2.000000,2.000000,1.980000,1.990000,0.630836,252000
2008-05-30,1.990000,2.020000,1.990000,2.020000,0.640346,414000
2008-06-02,2.000000,2.030000,2.000000,2.030000,0.656517,610000
2008-06-03,2.000000,2.000000,2.000000,2.000000,0.646814,182552
2008-06-04,2.000000,2.000000,1.950000,1.950000,0.630644,110000
2008-06-05,2.030000,2.030000,2.000000,2.000000,0.646814,162000
2008-06-06,2.010000,2.010000,1.980000,2.000000,0.646814,50000
2008-06-10,2.000000,2.000000,1.950000,1.990000,0.643580,390562
2008-06-11,1.930000,1.990000,1.910000,1.990000,0.643580,297828
2008-06-12,1.930000,2.030000,1.930000,2.030000,0.656517,340000
2008-06-13,1.970000,2.000000,1.920000,1.920000,0.620942,127000
2008-06-16,1.920000,1.970000,1.910000,1.970000,0.637112,276703
2008-06-17,null,null,null,null,null,null
2008-06-18,1.930000,1.930000,1.930000,1.930000,0.624176,36750
2008-06-19,1.930000,1.930000,1.930000,1.930000,0.624176,16000
2008-06-20,1.920000,1.940000,1.910000,1.910000,0.617708,67266
2008-06-23,1.920000,1.970000,1.910000,1.970000,0.637112,98093
2008-06-24,1.900000,1.970000,1.900000,1.900000,0.614474,158797
2008-06-25,null,null,null,null,null,null
2008-06-26,1.900000,1.900000,1.870000,1.870000,0.604771,92000
2008-06-27,1.800000,1.900000,1.800000,1.900000,0.614474,95078
2008-06-30,1.900000,1.900000,1.830000,1.830000,0.591835,22000
2008-07-02,1.820000,1.820000,1.770000,1.770000,0.572431,374625
2008-07-03,1.740000,1.750000,1.710000,1.730000,0.559494,94000
2008-07-04,1.700000,1.700000,1.700000,1.700000,0.549792,10000
2008-07-07,1.750000,1.750000,1.700000,1.700000,0.549792,50000
2008-07-08,1.700000,2.150000,1.700000,1.950000,0.630644,112890
2008-07-09,1.940000,1.940000,1.780000,1.780000,0.575665,141312
2008-07-10,1.860000,1.860000,1.860000,1.860000,0.601537,2000
2008-07-11,1.820000,1.820000,1.770000,1.780000,0.575665,56656
2008-07-14,1.810000,1.810000,1.810000,1.810000,0.585367,10000
2008-07-15,null,null,null,null,null,null
2008-07-16,1.780000,1.780000,1.780000,1.780000,0.575665,44000
2008-07-17,1.800000,1.800000,1.720000,1.720000,0.556260,62000
2008-07-18,1.720000,1.750000,1.700000,1.730000,0.559494,179014
2008-07-21,1.820000,1.820000,1.820000,1.820000,0.588601,100000
2008-07-22,1.820000,1.820000,1.790000,1.790000,0.578899,78000
2008-07-23,1.800000,1.850000,1.760000,1.800000,0.582133,156000
2008-07-24,1.800000,1.820000,1.800000,1.800000,0.582133,182000
2008-07-25,1.800000,1.810000,1.800000,1.800000,0.582133,71445
