Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.474559,5.513804,5.386260,5.454937,2.804329,188940633
2008-01-03,5.347016,5.366638,5.101740,5.131173,2.637885,697612042
2008-01-04,5.111551,5.288150,5.111551,5.219472,2.683279,523338959
2008-01-07,5.140984,5.190039,4.974196,5.170417,2.658060,490567527
2008-01-08,5.199850,5.386260,5.180228,5.190039,2.668148,555368862
2008-01-09,5.180228,5.376449,5.111551,5.366638,2.758935,534255029
2008-01-10,5.366638,5.464748,5.337205,5.347016,2.748847,458020683
2008-01-11,5.376449,5.435315,5.180228,5.219472,2.683279,555334115
2008-01-14,5.219472,5.297961,5.121362,5.131173,2.637885,331206021
2008-01-15,5.199850,5.219472,4.984008,5.023252,2.582403,324939437
2008-01-16,4.866275,4.905519,4.709298,4.719109,2.426047,901028961
2008-01-17,4.797598,4.964385,4.640621,4.905519,2.521879,585581268
2008-01-18,4.758354,5.199850,4.738732,5.190039,2.668148,646073777
2008-01-21,5.062496,5.072307,4.738732,4.768165,2.451266,641991943
2008-01-22,4.738732,4.738732,4.159880,4.346290,2.234385,5211702
2008-01-23,4.611188,4.885897,4.346290,4.817220,2.476485,1040216895
2008-01-24,4.248180,5.082118,4.248180,4.719109,2.426047,867326592
2008-01-25,4.571944,5.190039,4.571944,5.101740,2.622754,809428645
2008-01-28,4.944763,4.944763,4.679865,4.827031,2.481529,646928483
2008-01-29,4.944763,4.944763,4.768165,4.817220,2.476485,345708672
2008-01-30,4.846653,4.895708,4.542511,4.601377,2.365522,395793233
2008-01-31,4.522889,4.670054,4.444400,4.532700,2.330216,401254375
2008-02-01,4.611188,5.052685,4.562133,5.003630,2.572317,825302302
2008-02-04,5.150795,5.219472,5.091929,5.180228,2.663104,613305286
2008-02-05,5.052685,5.170417,5.033063,5.111551,2.627798,191643815
2008-02-06,4.787787,4.876086,4.670054,4.777976,2.456310,509956206
2008-02-11,4.738732,4.768165,4.601377,4.640621,2.385697,415182953
2008-02-12,4.660243,4.758354,4.650432,4.670054,2.400828,307091368
2008-02-13,4.758354,4.856464,4.709298,4.856464,2.496660,414320376
