Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,10.500000,10.500000,10.280000,10.300000,7.978189,114000
2008-01-03,10.300000,10.300000,9.940000,9.960000,7.714831,884000
2008-01-04,9.700000,9.700000,9.010000,9.230000,7.149386,8396600
2008-01-07,9.100000,9.100000,8.730000,9.100000,7.048691,8467260
2008-01-08,9.100000,9.370000,8.960000,9.030000,6.994472,3718000
2008-01-09,9.000000,9.020000,8.550000,8.780000,6.800825,9564000
2008-01-10,8.920000,9.400000,8.920000,9.300000,7.203607,4494000
2008-01-11,9.300000,9.600000,9.040000,9.050000,7.009962,3470000
2008-01-14,9.050000,9.110000,8.870000,8.930000,6.917012,4242000
2008-01-15,8.810000,9.220000,8.810000,9.000000,6.971233,3462000
2008-01-16,9.000000,9.000000,8.560000,8.570000,6.638162,4957512
2008-01-17,8.700000,8.700000,7.410000,8.080000,6.258618,4353400
2008-01-18,8.000000,8.000000,7.250000,7.510000,5.817106,6384000
2008-01-21,7.600000,7.950000,7.510000,7.740000,5.995259,2650000
2008-01-22,7.800000,7.800000,6.550000,6.600000,5.112237,5890000
2008-01-23,6.900000,7.330000,6.550000,7.000000,5.422071,2240000
2008-01-24,6.994000,7.280000,6.600000,7.000000,5.422071,1511500
2008-01-25,7.100000,7.560000,7.100000,7.490000,5.801614,3084000
2008-01-28,7.500000,7.500000,6.870000,6.990000,5.414323,2912241
2008-01-29,7.000000,7.350000,7.000000,7.350000,5.693173,734708
2008-01-30,7.540000,7.540000,7.050000,7.230000,5.600224,740000
2008-01-31,7.020000,7.320000,6.770000,7.320000,5.669937,4122000
2008-02-01,7.040000,8.280000,7.040000,7.770000,6.018497,2634000
2008-02-04,7.800000,7.950000,7.170000,7.280000,5.638954,3182000
2008-02-05,7.950000,7.950000,6.800000,7.000000,5.422071,8849436
2008-02-06,6.940000,6.940000,6.540000,6.600000,5.112237,5560000
2008-02-11,6.700000,6.770000,6.350000,6.390000,4.949576,5556000
2008-02-12,6.190000,6.940000,6.050000,6.100000,4.724946,7968000
2008-02-13,6.150000,6.180000,6.050000,6.100000,4.724946,8605500
2008-02-14,6.200000,6.250000,6.100000,6.190000,4.794659,5124000
2008-02-15,6.180000,6.300000,6.010000,6.100000,4.724946,5108000
2008-02-18,6.000000,6.400000,6.000000,6.300000,4.879863,8903000
2008-02-19,6.380000,6.380000,6.170000,6.170000,4.779167,1398000
2008-02-20,6.350000,6.350000,6.180000,6.260000,4.848880,4152000
2008-02-21,6.280000,6.800000,6.280000,6.700000,5.189695,7018000
2008-02-22,6.800000,6.800000,6.350000,6.650000,5.150967,4672000
2008-02-25,6.850000,6.850000,6.650000,6.750000,5.228424,2766000
2008-02-26,6.800000,7.090000,6.800000,7.080000,5.484037,2268000
2008-02-27,7.100000,7.700000,7.090000,7.520000,5.824852,4601000
2008-02-28,7.520000,7.670000,7.400000,7.500000,5.809361,1583400
2008-02-29,7.600000,7.660000,7.450000,7.480000,5.793869,860000
2008-03-03,7.500000,7.730000,7.090000,7.480000,5.793869,640000
2008-03-04,7.240000,7.240000,7.110000,7.120000,5.515020,176000
2008-03-05,7.200000,7.680000,7.140000,7.400000,5.731904,604000
2008-03-06,7.770000,7.770000,7.400000,7.400000,5.731904,452000
2008-03-07,7.570000,7.570000,7.330000,7.400000,5.731904,416000
2008-03-10,7.380000,7.400000,7.220000,7.400000,5.731904,415700
2008-03-11,7.500000,7.500000,7.240000,7.250000,5.615715,2392000
2008-03-12,7.470000,7.470000,7.200000,7.260000,5.623461,2324000
2008-03-13,7.200000,7.200000,6.980000,6.980000,5.406578,1048000
2008-03-14,6.920000,6.920000,6.370000,6.530000,5.058016,776000
2008-03-17,6.530000,6.530000,6.000000,6.240000,4.833387,320000
2008-03-18,6.400000,6.400000,5.410000,5.500000,4.260199,3100500
2008-03-19,6.000000,6.010000,5.560000,5.600000,4.337656,6566000
2008-03-20,5.540000,5.540000,5.000000,5.000000,3.872906,6786000
2008-03-25,5.540000,5.540000,5.200000,5.300000,4.105282,7072000
